noun	gender	count
aire	f	71110
aire	m	772
aisance	f	15926
aise	f	1242
ajournement	m	3398
ajout	m	13766
ajustage	m	563
ajustement	m	39601
ajusteur	m	766
al	m	672
alambic	m	1678
alarme	f	4235
albatros	m	577
albinos	m	948
album	m	27333
alcalose	f	794
alcaloïde	m	1047
alchimie	f	7422
alchimiste	m	2371
alcool	m	5034
alcoolique	m	3774
alcoolisation	f	627
alcoolisme	m	1407
alcoolémie	f	700
alcôve	f	2672
aldea	f	670
alegría	f	510
alerte	f	8741
alexandrin	m	2758
algarade	f	857
algorithme	m	20965
algue	f	3060
algèbre	f	3758
algérien	m	789
alias	m	908
alibi	m	16558
alignement	m	23125
aliment	m	26907
alimentation	f	42643
alinéa	m	9089
aliénation	f	17951
aliéné	m	2983
allaitement	m	1668
allegro	m	769
allemand	m	4560
allergie	f	5520
allergène	m	1179
allerretour	m	503
alleu	m	856
alliage	m	13769
alliance	f	139622
allitération	f	983
allié	m	38698
alliée	f	6724
allocataire	m	1150
allocation	f	56280
allocutaire	m	1630
allocution	f	19446
allogreffe	f	542
allongement	m	21780
allumage	m	515
allumette	f	8062
allure	f	57830
allusion	f	62357
allègement	m	3587
allèle	m	3308
allée	f	17890
allégation	f	2457
allégeance	f	6240
allégement	m	21024
allégorie	f	22535
allégresse	f	4090
almanach	m	3038
alopécie	f	824
alouette	f	1659
alourdissement	m	8427
alpage	m	735
alpha	m	785
alphabet	m	12217
alphabétisation	f	2980
alpiniste	m	1472
alta	f	563
altemative	f	747
alter	m	4186
altercation	f	7157
alternance	f	40263
alternancia	f	529
alternateur	m	1291
alternative	f	127268
altitude	f	19629
alto	m	1104
altre	m	1581
altro	m	1691
altruisme	m	1858
altura	f	1116
altération	f	38496
altérité	f	24070
alvéole	f	1193
aléa	m	5412
amabilité	f	1951
amaigrissement	m	2906
amalgame	m	23386
amande	f	1579
amandier	m	627
amant	m	30261
amante	f	4189
amarre	f	776
amas	m	23123
amateur	m	21045
amateurisme	m	876
amazone	f	1487
ambassade	f	18351
ambassadeur	m	21052
ambassadrice	f	593
ambiance	f	71236
ambiente	m	1503
ambiguité	f	1061
ambiguïté	f	40007
ambigüedad	f	629
ambition	f	45484
ambitus	m	1234
ambivalence	f	12026
amblyopie	f	557
ambulance	f	11056
ame	f	2145
amenaza	f	661
amende	f	97607
amendement	m	52747
amenuisement	m	1689
amer	m	775
amertume	f	5674
ameublement	m	1049
ami	m	269792
amibe	f	725
amicale	f	872
amie	f	67412
amigo	m	534
amincissement	m	1789
aminoside	m	536
amiral	m	3948
amistad	f	773
amitié	f	50896
amniocentèse	f	677
amnistie	f	16569
amnésie	f	5954
amnésique	m	605
amoindrissement	m	3295
amoncellement	m	6486
amont	m	975
amor	m	842
amorce	f	16393
amortissement	m	6449
amortisseur	m	1406
amorçage	m	760
amour	f	637
amour	m	148594
amourette	f	875
amoureuse	f	2463
amoureux	m	11602
amphi	m	819
amphithéâtre	m	7938
amphore	f	4139
ample	f	1115
ampleur	f	67874
ampliation	f	1028
amplificateur	m	5875
amplification	f	11547
amplitude	f	13367
ampoule	f	10398
amputation	f	8072
amputé	m	508
amulette	f	2948
amusement	m	4718
amuseur	m	954
amyotrophie	f	980
amélioration	f	202852
aménagement	m	44971
aménageur	m	676
aménité	f	705
aménorrhée	f	1223
américain	m	3500
américaine	f	1293
américanisation	f	1509
an	f	940
an	m	1008399
anachorète	m	748
anachronisme	m	11434
anagramme	f	1146
anagramme	m	882
analepse	f	1028
analgésie	f	3395
analgésique	m	1025
analogie	f	54664
analogon	m	2236
analogue	m	4324
analphabète	m	1388
analphabétisme	m	838
