noun	gender	count
courbure	f	34037
courette	f	3849
coureur	m	15312
coureuse	f	597
courge	f	3651
courgette	f	1025
courier	m	572
courlis	m	538
couronne	f	243531
couronne	m	1249
couronnement	m	41207
courriel	m	3679
courrier	m	127875
courroie	f	13234
courroux	m	10313
cours	f	1658
cours	m	724938
course	f	312214
coursier	m	4803
coursive	f	3563
coursière	f	1224
courtage	m	4511
courtcircuit	m	554
courtepointe	f	2038
courtier	m	12900
courtil	m	540
courtine	f	9602
courtisan	m	10099
courtisane	f	14563
courtisanerie	f	986
courtoisie	f	27639
courée	f	587
couscous	m	10034
cousin	m	52834
cousinage	m	2192
cousine	f	32244
coussin	m	16995
coussinet	m	2300
coustume	f	2702
cout	m	3674
couteau	m	94734
coutelas	m	2871
coutelier	m	934
coutellerie	f	3490
coutre	m	999
coutume	f	269867
coutumier	m	2957
couture	f	29753
couturier	m	5975
couturière	f	10432
couv	f	2177
couvade	f	1498
couvain	m	2353
couvaison	f	911
couvent	m	83851
couvercle	m	41843
couvert	m	90293
couverte	f	2045
couverture	f	386256
couveuse	f	2074
couvre	f	1487
couvre	m	26066
couvrefeu	m	891
couvrement	m	1520
couvreur	m	1986
couvée	f	2007
covariance	f	5813
covariation	f	1540
covoiturage	m	1349
cow	m	584
cowboy	m	508
coxarthrose	f	990
coyote	m	1469
coyuntura	f	573
coédition	f	1728
coéducation	f	2928
coénonciateur	m	937
coénonciation	f	929
coépouse	f	2013
coéquipier	m	1017
coévolution	f	1598
coïncidence	f	83257
coïntégration	f	532
coït	m	13477
coût	m	799997
crabe	m	8623
crachat	m	4217
crachement	m	541
crachin	m	2558
crachoir	m	1583
crack	m	3157
craie	f	27948
craignais	m	662
crains	m	8468
crainte	f	389080
crampe	f	3685
crampon	m	909
cran	m	21665
craniologie	f	707
crapaud	m	10875
crapaudine	f	1097
crapule	f	3336
crapulerie	f	588
craquage	m	934
craquelure	f	674
craquement	m	8111
crase	f	958
crash	m	4006
crasse	f	12547
craton	m	651
cratylisme	m	653
cratère	m	13246
cravache	f	4631
cravate	f	25045
crawl	m	806
crayon	m	39187
creación	f	5722
creaciôn	f	779
creance	f	581
creation	f	3547
creature	f	516
creciente	f	732
credit	m	1109
credo	m	29128
creencia	f	730
crescendo	m	6932
cresson	m	1739
creusage	m	633
creuse	f	916
creusement	m	24713
creuset	m	47997
creux	m	57178
crevaison	f	1634
crevasse	f	5205
crevette	f	9196
cri	f	1147
cri	m	223960
criblage	m	2411
crible	m	4982
cric	m	1252
cricket	m	2185
crie	m	504
crieur	m	4754
crime	m	328739
crimen	m	671
criminalisation	f	9944
criminaliste	m	608
criminalistique	f	818
criminalité	f	140875
criminel	m	48735
criminelle	f	4534
criminologie	f	22268
criminologue	m	2109
crin	m	2201
crinière	f	10537
crinoline	f	1196
crique	f	9874
criquet	m	2608
crise	f	2208339
crise	m	733
crisi	f	594
crisis	f	6098
crispation	f	13243
crissement	m	6293
cristal	m	39324
cristallerie	f	1914
cristallin	m	4942
cristallinité	f	1253
cristallisation	f	43071
cristallographie	f	3639
critere	m	595
criterium	m	660
critica	f	1637
criticisme	m	6155
criticité	f	1011
critique	f	1241584
critique	m	138056
critère	m	424189
critériologie	f	1542
critérium	m	4307
criée	f	11229
croassement	m	992
croate	m	1432
croc	m	3407
croche	f	2393
croche	m	627
crochet	m	19826
crocheteur	m	515
crocodile	m	14505
crois	f	4816
crois	m	6459
croisade	f	69757
croisement	m	47248
croisette	f	535
croiseur	m	10622
croisillon	m	2002
croisière	f	16718
croissance	f	1759952
croissant	m	17266
croisé	m	3217
croisée	f	74696
croix	f	305519
croquant	m	749
croque	m	2661
croquemitaine	m	665
croquis	m	20611
cross	m	2137
crosse	f	19097
crossing	m	584
crotte	f	3582
crottin	m	2420
croup	m	713
croupe	f	14560
croupier	m	1229
croupion	m	1074
croyais	f	1272
croyais	m	3204
croyance	f	347623
croyant	m	35458
croyons	f	725
croyons	m	4285
croît	m	4106
croûte	f	46334
croûton	m	1250
cru	m	1195
cruauté	f	104864
cruche	f	17024
cruchon	m	956
crucifiement	m	513
crucifix	m	18957
crucifixion	f	16309
crucifié	m	3397
crudité	f	6238
crue	f	35037
cruel	m	1049
cruelle	f	1651
crus	f	595
crus	m	1064
crustacé	m	1270
cruz	f	1040
cryoconservation	f	577
cryogénie	f	553
cryostat	m	896
cryothérapie	f	899
cryptage	m	3321
crypte	f	33687
crypto	m	848
cryptogramme	m	1786
cryptographie	f	4277
cryptologie	f	1385
cryptoportique	m	549
crâne	m	86248
crânerie	f	513
crèche	f	42720
crème	f	45760
crève	f	769
crève	m	1388
créa	f	1812
créance	f	95354
créancier	m	81598
créancière	f	755
créateur	m	105852
créatif	m	778
créatine	f	1415
créatinine	f	4762
créatininémie	f	1968
création	f	3082640
création	m	697
créationnisme	m	2082
créativité	f	136595
créatrice	f	3364
créature	f	113997
crécelle	f	1559
crédence	f	1020
crédibilité	f	118482
crédirentier	m	685
crédit	m	270631
créditeur	m	1008
crédité	f	1176
crédo	m	1009
crédulité	f	22270
crémaillère	f	4037
crémation	f	11543
crématoire	m	1910
crématorium	m	720
crémerie	f	1362
crémier	m	611
crémière	f	838
créneau	m	24392
crénelage	m	571
créole	f	2149
créole	m	57857
créolisation	f	10566
créolistique	f	1150
créolité	f	9736
créosote	f	577
crépi	m	3754
crépine	f	1072
crépitement	m	7613
crépuscule	m	39265
crétin	m	2493
crétinisation	f	516
crétinisme	m	1684
crêpe	f	2890
crêpe	m	2880
crêperie	f	761
crête	f	64564
crítica	f	2062
crónica	f	562
csce	f	780
cuadro	m	535
cuarta	f	555
cuarto	m	526
cubage	m	1423
cubaine	f	544
cube	m	21647
cubiculum	m	648
cubisme	m	15920
cubitus	m	1076
cueillette	f	50741
cueilleur	m	813
cuenca	f	631
cuenta	f	712
cuento	m	514
cuesta	f	1485
cuestion	f	596
cuestión	f	3872
cuestiôn	f	976
cueur	m	1136
cueva	f	1025
cuiller	f	11607
cuillerée	f	7077
cuillère	f	20677
cuir	m	34662
cuirasse	f	18558
cuirassement	m	503
cuirassier	m	821
cuirassé	m	6804
cuire	f	787
cuire	m	1000
cuisine	f	360263
cuisinier	m	22319
cuisinière	f	26888
cuisse	f	48198
cuisson	f	52338
cuissot	m	552
cuistot	m	1245
cuistre	m	805
cuistrerie	f	1043
cuit	m	3727
cuite	f	2633
cuivre	m	45528
cul	f	1199
cul	m	41027
culasse	f	5955
culbute	f	2949
culmination	f	3072
culot	m	10478
culotte	f	19240
culpa	f	1346
culpabilisation	f	7445
culpabilité	f	138411
culte	m	410862
cultivar	m	2661
cultivateur	m	26158
cultivatrice	f	715
cultive	f	1005
cultivé	m	514
cultuel	m	700
cultura	f	7422
culturalisme	m	4298
culture	f	3223902
culture	m	1361
culturel	m	20551
culée	f	2306
cumin	m	1050
cumul	m	60729
cumulation	f	887
cumulativité	f	1153
cumulus	m	648
cunnilingus	m	541
cupidité	f	30105
cupule	f	4886
cura	f	1853
curage	m	5376
curare	m	1709
curarisation	f	970
curatelle	f	6023
curateur	m	11108
curatif	m	705
curcuma	m	583
cure	f	148975
cure	m	2504
curetage	m	2576
curette	f	1399
curia	f	1575
curie	f	16720
curiethérapie	f	1575
curieuse	f	2256
curieux	m	7307
curiosité	f	211256
curiste	m	616
curling	m	510
curriculum	m	16171
curry	m	642
curseur	m	18220
cursive	f	881
cursus	m	45983
curtis	f	984
curé	m	234947
curée	f	7726
cuspide	f	2631
custode	f	805
custode	m	746
custodia	f	1316
custodie	f	530
cuticule	f	5482
cutter	m	1411
cuve	f	40455
cuveau	m	655
cuvelage	m	986
cuverie	f	590
cuvette	f	40408
cuvier	m	1194
cuvée	f	2588
cyanose	f	2553
cyanure	m	1987
cyber	f	729
cyber	m	863
cybercafé	m	1322
cybercriminalité	f	2844
cyberculture	f	1934
cyberespace	m	6821
cyberformation	f	1709
cybernétique	f	18312
cyberspace	m	709
cyborg	m	969
cycle	m	370834
cyclicité	f	1800
cycline	f	1463
cyclisme	m	7153
cycliste	m	8331
cyclo	f	1017
cyclo	m	1024
cyclohexane	m	753
cyclomoteur	m	1049
cyclone	m	17763
cyclope	m	1559
cyclosporine	f	956
cyclothymie	f	1068
cyclotron	m	1502
cycloïde	f	1880
cygne	m	11482
cylindre	m	34245
cylindrée	f	2435
cymbale	f	1980
cynique	m	3282
cynisme	m	36389
cyphose	f	2525
cyprès	m	4492
cystite	f	1215
cystographie	f	544
cystoscopie	f	634
cystéine	f	1223
cytochrome	f	654
cytochrome	m	1618
cytogénétique	f	856
cytokine	f	946
cytologie	f	2966
cytolyse	f	993
cytomégalovirus	m	805
cytométrie	f	571
cytoplasme	m	14845
cytoponction	f	602
cytosine	f	1240
cytosol	m	2402
cytosquelette	m	1431
cytotoxicité	f	1298
czar	m	1088
cámara	f	534
cárcel	f	962
câblage	m	3748
câble	m	43421
câblo	m	515
câblodistribution	f	1426
câlin	m	1151
câmara	f	735
cèdre	m	11118
cène	f	7714
cécité	f	28444
cédant	m	9525
cédille	f	1181
cédraie	f	886
cédrat	m	502
cédule	f	4093
cédérom	m	6315
cégep	m	2062
céleri	m	1950
céleste	f	1815
céleste	m	2393
célibat	m	30521
célibataire	f	2536
célibataire	m	12764
célébrant	m	3394
célébration	f	185071
célébrité	f	39768
célérité	f	14300
cément	m	1859
cémentation	f	740
cénacle	m	6782
cénesthésie	f	1133
cénobitisme	m	615
cénotaphe	m	2956
cépage	m	4168
céphalosporine	f	725
céphalée	f	3690
céramique	f	93094
céramiste	m	1158
céruse	f	1827
céréale	f	7678
céréaliculture	f	8031
cérébral	m	960
cérébralité	f	1162
cérémonial	m	35611
cérémonie	f	331978
cérémoniel	m	695
césarienne	f	8002
césarisme	m	3018
césium	m	1976
césure	f	37284
cétacé	m	703
cîme	f	632
côlon	m	4603
cône	m	24675
côte	f	550444
côte	m	2396
côtelette	f	1408
côtoiement	m	2115
côté	f	1688
côté	m	1011335
cœfficient	m	1182
cœlioscopie	f	2241
cœur	m	770152
cœxistence	f	1322
d	f	3801
d	m	5789
da	f	738
da	m	1334
daba	f	1513
dactyle	m	1405
dactylo	f	3265
dactylogramme	m	1342
dactylographe	f	1087
dactylographie	f	8420
dada	m	806
dadaïsme	m	3815
dadaïste	m	679
dague	f	4317
daguerréotype	m	3123
dahir	m	8932
dahlia	m	549
daim	m	2834
daimon	m	555
dais	m	12179
dalaï	m	2551
dallage	m	11996
dalle	f	44580
dalmatique	f	1105
daltonisme	m	532
dama	f	1089
damas	m	765
dame	f	208561
damel	m	921
damier	m	6872
damnation	f	17003
damné	m	3095
damnée	f	581
damoiseau	m	670
damoisele	f	535
damoiselle	f	1267
dan	m	1024
dance	f	593
dancing	m	1737
dandy	m	8940
dandysme	m	4697
danger	m	481912
dangereuse	f	686
dangerosité	f	16119
danse	f	337106
danseur	m	23191
danseuse	f	28578
danza	f	985
dard	m	4540
darse	f	3442
darwinisme	m	14101
datagramme	m	868
datar	f	548
datation	f	67850
datcha	f	2594
date	f	1153485
date	m	2465
datif	m	5864
dation	f	5649
datte	f	2566
datum	m	651
daube	f	1237
dauphin	m	33131
dauphine	f	6324
daurade	f	1784
daïra	f	1000
dc	f	790
dea	f	582
dea	m	592
deal	m	2423
dealer	m	2486
debat	m	776
debiteur	m	534
debriefing	m	974
debut	m	1876
decadencia	f	729
decision	f	2799
decisión	f	1128
declaración	f	544
declaration	f	1656
decorum	m	881
decouverte	f	1025
decret	m	1152
decumanus	m	2099
dedans	m	37542
defaut	m	698
defensa	f	2434
defense	f	1415
deffence	f	560
deffense	f	901
definición	f	1590
definiens	m	545
definition	f	1808
degre	m	651
degré	m	651159
dehesa	f	584
dehors	m	54691
deixis	f	7090
del	f	2113
delai	m	1776
delirium	m	1280
delivrance	f	508
delta	m	35380
deltaméthrine	f	964
deltoïde	m	800
demanda	f	1751
demande	f	2471488
demande	m	31305
demanderesse	f	27478
demandes	m	1349
demandeur	m	101652
demandons	m	616
demarche	f	1058
demeure	f	118918
demeure	m	4443
demi	f	192691
demi	m	221892
demicercle	m	691
demidouzaine	f	3993
demie	f	9262
demier	m	3947
demiheure	f	7604
demijournée	f	1660
demimillion	m	1772
demisiècle	m	11748
demière	f	4421
democracia	f	4020
democratie	f	1094
demoiselle	f	41496
demonstration	f	766
demos	m	882
dendrite	f	627
dendrochronologie	f	2889
dendrogramme	m	753
dengue	f	2467
denier	m	10110
denominación	f	569
denrée	f	19538
dense	f	592
dense	m	864
densif	f	542
densification	f	15500
densite	f	739
densité	f	326997
dent	f	67285
dentale	f	947
dentelle	f	23287
dentellière	f	1288
dentier	m	1759
dentifrice	m	2022
dentine	f	6134
dentiste	f	587
dentiste	m	16254
dentisterie	f	1574
dentition	f	5869
denture	f	6035
denuncia	f	529
depart	m	664
departement	m	661
dependance	f	527
dependencia	f	752
depense	f	643
der	f	1000
derecha	f	597
dermatite	f	3308
dermatologie	f	1574
dermatose	f	2087
derme	m	3438
dermite	f	1270
derniere	f	1188
dernière	f	79046
derrota	f	652
derviche	m	2052
desaparición	f	939
descellement	m	1122
descendance	f	81002
descendant	m	13707
descendante	f	1091
descenderie	f	1227
descente	f	114855
descrip	f	545
descripción	f	1883
descripteur	m	7450
descriptif	m	16470
description	f	984079
deseo	m	555
desert	m	564
desespoir	m	557
desideratum	m	607
design	m	26656
designer	m	4672
desigualdad	f	505
desir	m	3108
desmodonte	m	643
desordre	m	790
despence	f	796
despense	f	813
despote	m	15935
despotisme	m	62909
desquamation	f	1742
desquelles	f	694
dessaisissement	m	8507
dessalement	m	1977
dessein	m	111081
desserrement	m	6495
dessert	f	630
dessert	m	13520
desserte	f	38233
desservant	m	974
dessication	f	2290
dessiccation	f	5156
dessin	m	319533
dessinateur	m	24905
dessinatrice	f	738
dessous	m	17535
dessus	f	1218
dessus	m	94897
dessèchement	m	8081
destabilisation	f	832
destin	m	442670
destinataire	f	4293
destinataire	m	90646
destinateur	m	9174
destination	f	135397
destine	f	844
destitution	f	27265
destrier	m	1316
destroyer	m	2689
destrucción	f	1193
destructeur	m	4048
destruction	f	472152
destructivité	f	5208
destructuration	f	3604
detail	m	711
determinación	f	776
determination	f	1003
dette	f	666267
dette	m	548
deuda	f	633
deuil	m	122713
deus	m	2633
deutschemark	m	2868
deutérium	m	1796
deuxieme	f	532
devancement	m	684
devancier	m	704
devanture	f	9878
developpement	m	4787
devenir	m	142001
devin	m	23771
devine	f	872
devine	m	667
devineresse	f	1199
devinette	f	7336
devint	m	776
devis	m	24543
devise	f	100452
devoir	f	601
devoir	m	450894
devons	f	670
devons	m	1234
devotion	f	652
dexaméthasone	f	1161
dextre	f	1394
dextérité	f	11345
dey	m	2156
dharma	m	3362
dhikr	m	1381
dhimma	f	1423
dhimmi	m	591
dhimmitude	f	617
di	f	3357
di	m	1916
dia	f	1494
dia	m	2322
diable	f	4292
diable	m	143058
diablerie	f	901
diablesse	f	1781
diablotin	m	1188
diabolique	f	678
diabolique	m	1843
diabolisation	f	8009
diabète	m	26725
diabétique	m	4137
diachronie	f	17723
diaconat	m	3159
diaconesse	f	705
diaconie	f	2602
diacre	m	10202
diadème	m	7258
diagenèse	f	3494
diagnose	f	2228
diagnostic	m	319251
diagnostique	m	1034
diagonale	f	23652
diagonalisation	f	595
diagramme	m	59306
diagraphie	f	679
diaire	m	1631
dialectal	m	916
dialecte	m	46902
dialecticien	m	3215
dialectique	f	306698
dialectique	m	836
dialectisation	f	1434
dialectologie	f	5648
dialectologue	m	674
dialogique	f	2336
dialogique	m	533
dialogisme	m	7237
dialogue	m	665068
dialoguiste	m	668
dialysat	m	597
dialyse	f	6234
dialéctica	f	508
diamant	m	28552
diamantaire	m	946
diametre	m	537
diamètre	m	92069
diane	f	994
dianoia	f	1057
diapason	m	4468
diapause	f	1497
diaphane	m	1240
diaphonie	f	725
diaphragme	m	11849
diaphyse	f	6159
diapo	f	1201
diaporama	m	4929
diapositive	f	10348
diariste	f	1357
diariste	m	4806
diarrhée	f	25177
diaspora	f	99161
diastase	f	521
diastole	f	2476
diastème	m	597
diathèse	f	3741
diatribe	f	10787
diazépam	m	871
dicastère	m	514
dice	m	664
dicha	f	2100
dichotomie	f	77753
dichotomisation	f	1161
dicibilité	f	863
dicible	m	2065
dico	m	504
dict	m	2045
dictadura	f	2029
dictamen	m	748
dictaphone	m	800
dictateur	m	44743
dictature	f	246776
dicte	f	4756
diction	f	21174
dictionnaire	m	168831
dictionnairique	f	637
dicton	m	17761
dictum	m	2123
dictée	f	26676
didacticiel	m	1791
didacticien	m	1861
didactique	f	57337
didactique	m	1160
didactisation	f	703
didactisme	m	4587
didactologie	f	903
didascalie	f	8538
dieldrine	f	562
diencéphale	m	722
dies	m	719
diesel	m	2753
dieu	m	212450
dif	f	1677
diferencia	f	3531
diffamation	f	14578
difference	f	8071
differenciation	f	554
differenza	f	843
differenze	m	583
difficulte	f	690
difficulté	f	772861
difficultés	f	546
difforme	m	856
difformité	f	5188
diffraction	f	13360
diffractomètre	m	711
diffuse	f	1207
diffuse	m	503
diffuseur	m	6753
diffusion	f	718994
diffusionnisme	m	830
diffusivité	f	2836
diffé	f	1298
différance	f	5406
différence	f	2075443
différences	f	627
différenciation	f	207729
différencie	f	3626
différencie	m	4733
différencier	f	1061
différend	m	80847
différentialisme	m	1300
différentiation	f	7820
différentiel	m	27212
différentielle	f	4375
différé	m	4084
dificultad	f	1277
difusión	f	1432
digest	m	628
digesteur	m	831
digestibilité	f	6396
digestif	m	843
digestion	f	31170
digital	m	692
digitale	f	1318
digitaline	f	940
digitalisation	f	1823
diglossie	f	11088
digne	f	1456
digne	m	4246
dignitaire	m	7970
dignitas	f	2139
dignité	f	386751
digoxine	f	1223
digramme	m	545
digression	f	21362
digue	f	43793
diguette	f	750
dije	m	504
dijo	m	877
diktat	m	7487
dikè	f	520
dilapidation	f	6000
dilatation	f	31083
dilection	f	2774
dilemme	m	88570
dilemne	m	2096
dilettante	m	3822
dilettantisme	m	3996
diligence	f	40339
diluant	m	1087
dilution	f	31151
dimanche	m	294058
dime	f	1062
dimen	f	917
dimension	f	1294333
dimensionalité	f	592
dimensionnalité	f	1158
dimensionnement	m	9026
dimensión	f	1031
diminutif	m	9128
diminution	f	582418
dimorphisme	m	4224
dimère	m	1391
dimérisation	f	771
dinanderie	f	538
dinar	m	4268
dinde	f	5994
dindon	m	4327
diner	m	1565
dingue	m	1531
dinosaure	m	3139
dinámica	f	953
diocèse	m	97031
diode	f	7655
diola	m	728
dionysiaque	m	1694
dionysisme	m	1254
dioptre	m	872
dioptrique	f	896
diorama	m	1361
diorite	f	677
dioula	m	1725
dioxine	f	4792
dioxyde	m	9164
dioxygène	m	734
diphtongaison	f	2173
diphtongue	f	4421
diphtérie	f	5846
diplomate	f	648
diplomate	m	59949
diplomatie	f	229567
diplomatique	f	3774
diplome	m	1036
diplopie	f	2250
diplôme	m	193993
diplômé	m	4894
diptyque	m	7597
dipôle	m	3435
dir	f	129590
dir	m	581
dirai	f	566
dirai	m	4102
dirais	m	1088
diras	m	760
direc	f	1541
dirección	f	1893
directeur	m	652572
direction	f	2263273
direction	m	1321
directionalité	f	544
directionnalité	f	1443
directive	f	301755
directivité	f	2688
directoire	m	25610
directorat	m	571
directrice	f	50560
dirham	m	1740
dirigeable	m	2213
dirigeant	f	970
dirigeant	m	93449
dirigeante	f	2160
dirigent	f	851
dirigisme	m	10908
dirons	m	779
dis	f	5447
dis	m	40610
disais	m	4159
discernement	m	27827
disciple	f	1616
disciple	m	65071
disciplina	f	1050
disciplinarisation	f	986
discipline	f	545068
disco	m	924
discographie	f	3475
discontinu	m	4245
discontinuité	f	73141
disconvenance	f	1469
discord	m	515
discordance	f	25243
discorde	f	34434
discothèque	f	8795
discount	m	600
discoureur	m	564
discours	m	1857664
discret	m	3282
discriminant	m	1822
discrimination	f	223631
discrète	f	3140
discrédit	m	37016
discrétion	f	98331
discrétisation	f	4989
disculpation	f	763
discursif	m	1975
discursivité	f	7757
discurso	m	636
discusión	f	873
discussion	f	705539
dise	m	655
disegno	m	653
disette	f	36067
diseur	m	2217
diseuse	f	1339
disfonctionnement	m	770
disgrâce	f	24799
disharmonie	f	1843
disions	m	628
disjoncteur	m	1436
disjonction	f	36579
dislance	f	609
dislocation	f	47346
disminución	f	623
disons	m	518
disparate	f	1957
disparate	m	2121
disparition	f	614636
disparité	f	50026
disparue	f	2589
dispatching	m	907
dispensaire	m	19189
dispensateur	m	3262
dispensation	f	4609
dispensatrice	f	628
dispense	f	30627
dispense	m	3156
dispersion	f	192133
disponibilité	f	161672
disposición	f	699
dispositif	m	501887
dispositio	f	3706
disposition	f	827135
dispositions	f	580
disproportion	f	33371
disputatio	f	3214
disputation	f	550
dispute	f	53183
dispute	m	9872
disquaire	m	788
disqualification	f	17179
disque	m	115925
disquette	f	14314
disruption	f	638
dissection	f	21912
dissemblable	m	797
dissemblance	f	8718
dissension	f	6579
dissensus	m	1315
dissentiment	m	2372
dissertation	f	29720
dissidence	f	42085
dissident	m	7343
dissimilarité	f	827
dissimilation	f	1453
dissimilitude	f	1119
dissimulation	f	38280
dissipateur	m	543
dissipation	f	16739
dissociation	f	72945
dissolution	f	257173
dissolvant	m	1577
dissonance	f	21650
dissout	f	770
dissout	m	861
dissuasion	f	71083
dissymétrie	f	24096
dissémination	f	35754
distance	f	717509
distancia	f	1497
distanciation	f	37586
distension	f	9454
distillat	m	566
distillateur	m	1047
distillation	f	18009
distillerie	f	6569
distinción	f	1231
distinct	m	886
distinction	f	946498
distinctivité	f	771
distingue	f	8958
distingue	m	3720
distinguent	f	641
distinguo	m	5441
distingué	m	2114
distique	m	5173
distorsion	f	45849
distortion	f	532
distracteur	m	670
distraction	f	28133
distraire	f	1819
distrait	m	1340
distribución	f	1858
distributeur	m	29329
distribution	f	812694
distributivité	f	1117
district	m	113954
dithyrambe	m	2591
ditte	f	7724
diurne	m	522
diurèse	f	5563
diurétique	m	1052
diva	f	4947
divagation	f	5553
divan	m	31309
dive	f	1272
diver	f	532
divergence	f	76033
diversidad	f	1816
diversification	f	165972
diversion	f	16702
diversite	f	1034
diversité	f	929924
diverticule	m	1970
divertissement	m	37287
divi	f	532
dividende	m	16144
divin	m	56224
divina	f	500
divination	f	29305
divine	f	6434
divinidad	f	507
divinisation	f	9848
divinité	f	176964
divise	f	1562
divisent	f	644
diviseur	m	4082
divisibilité	f	7871
division	f	741689
divisionnaire	m	1296
divisionnisme	m	716
división	f	830
divorce	m	184835
divorcé	m	991
divorcée	f	1792
divortialité	f	2013
divulgation	f	31370
diwan	m	676
dixième	f	4920
dixième	m	45232
dixme	f	1370
diya	f	1277
dizain	m	2186
dizaine	f	478955
dizaines	f	546
dizième	m	825
dièdre	m	1130
dièse	f	788
dièse	m	1060
diète	f	25054
diégèse	f	23186
diélectrique	m	1566
diérèse	f	1448
diététicien	m	595
diététicienne	f	1703
diététique	f	8750
djebel	m	6786
djellaba	f	3209
djemaa	f	1095
djemaâ	f	953
djemâa	f	759
djihad	f	542
djihad	m	5813
djihâd	m	953
djinn	m	3189
djizya	f	508
djoundi	m	610
do	m	1278
dobutamine	f	749
doc	f	2467
doc	m	2343
docilité	f	17271
docimologie	f	1082
dock	m	1974
docker	m	2382
docte	m	1198
docteur	m	326642
docteure	f	589
doctorant	m	1673
doctorat	m	57990
doctoresse	f	4865
doctrina	f	1640
doctrinaire	m	3131
doctrine	f	932645
docu	m	808
document	m	572341
documentación	f	1075
documentaire	m	37879
documentaliste	f	1720
documentaliste	m	3899
documentariste	m	948
documentation	f	335157
documento	m	625
docétisme	m	637
dodo	m	895
dodécaphonisme	m	1499
dodécaèdre	m	816
doge	m	5318
dogmatique	f	14193
dogmatique	m	1331
dogmatisation	f	730
dogmatisme	m	29321
dogme	m	88607
dogue	m	1395
doigt	m	119039
doigté	m	4831
dois	f	1345
dois	m	1740
dojo	m	563
dol	m	10317
doline	f	879
dollar	m	89167
dollarisation	f	5608
dolman	m	717
dolmen	m	5395
dolo	m	836
dolomie	f	2180
dolomite	f	1851
dolomitisation	f	800
dolorisme	m	1244
doléance	f	1492
dom	m	516
domaine	f	1159
domaine	m	2708960
domaines	m	810
domanda	f	576
domanialité	f	9653
domestication	f	26805
domesticité	f	18197
domestique	f	11854
domestique	m	33423
domicile	m	65546
domiciliation	f	4845
domina	f	818
dominación	f	636
dominance	f	28233
dominant	m	4561
dominante	f	31083
dominateur	m	2334
domination	f	508944
domine	f	2262
domine	m	2220
dominicain	m	14108
dominion	m	999
dominium	m	2016
domino	m	1763
dominus	m	1130
dominé	m	3686
dommage	m	107943
domotique	f	1601
domptage	m	518
dompteur	m	3112
domus	f	6447
don	m	340834
donataire	m	7458
donateur	m	23121
donation	f	84607
donatisme	m	975
donatrice	f	2419
donjon	m	15403
donjuanisme	m	910
donna	f	1465
donne	f	44724
donne	m	9261
donnerai	f	694
donnerai	m	800
donnes	m	552
donneur	m	35255
donneuse	f	1609
donzelle	f	1237
dopage	m	14002
dopamine	f	8000
dope	f	1128
dorade	f	1259
doreur	m	565
dorique	m	548
doris	m	720
dormance	f	3408
dormant	m	691
dormeur	m	8923
dormeuse	f	2284
dormition	f	610
dorsale	f	11256
dorsiflexion	f	505
dortoir	m	13447
dorure	f	5553
doryphore	m	677
doré	m	1150
dos	m	438465
dosage	m	50430
dose	f	123593
doseur	m	532
dosimètre	m	542
dosimétrie	f	1810
dossier	m	509964
dossière	f	561
dot	f	91053
dota	f	745
dota	m	507
dotation	f	87855
dote	f	1371
dou	f	848
douaire	m	5218
douairière	f	1924
douane	f	40016
douanier	m	9654
douar	m	6497
doublage	m	4887
double	f	25961
double	m	132508
doubleau	m	624
doublement	m	35762
doublet	m	9363
doublon	m	1537
doublure	f	12484
douce	f	9644
douceur	f	142822
douche	f	44121
doucine	f	773
douglas	m	799
douille	f	4551
doulce	f	506
douleur	f	524068
douloureuse	f	1028
douloureux	m	850
douma	f	1215
doute	m	264158
douve	f	2209
doux	m	6522
douzaine	f	141078
douze	m	646
douzième	f	2577
douzième	m	5570
doxa	f	27856
doxographie	f	1467
doxologie	f	1620
doxorubicine	f	788
doxycycline	f	570
doyen	m	57411
doyenne	f	4566
doyenné	m	2111
dr	m	2839
drachme	f	3816
dracunculose	f	863
dragage	m	3131
dragon	m	36264
dragonne	f	706
drague	f	7885
dragueur	m	1669
dragée	f	3837
draille	f	789
drain	m	7167
drainage	m	29951
draisine	f	620
dramatisation	f	22507
dramatisme	m	695
dramaturge	f	1163
dramaturge	m	30336
dramaturgie	f	40905
drame	m	293687
drap	m	46708
drapeau	m	156615
draperie	f	15215
drapier	m	2342
drapé	m	4853
drave	f	707
dressage	m	11131
dresseur	m	1375
dressoir	m	1225
dreyfusard	m	806
dreyfusisme	m	1496
dribble	m	698
drisse	f	1083
drogman	m	1888
drogue	f	173832
droguerie	f	1746
droguiste	m	1139
drogué	m	3816
droict	m	1044
droit	f	1296
droit	m	4571418
droite	f	642558
droite	m	580
droitier	m	1523
droits	m	564
droiture	f	18983
dromadaire	m	4511
dromos	m	592
drone	m	1445
drosophile	f	5932
drugstore	m	751
druide	m	3368
druidisme	m	1151
drépanocytose	f	3669
drôle	f	32126
drôle	m	25008
drôlerie	f	5895
dual	m	982
dualisation	f	3944
dualisme	m	61557
dualité	f	137013
duc	m	363427
ducasse	f	871
ducat	m	1553
duce	m	667
duchesse	f	127219
duché	m	31373
ductilité	f	4168
ductus	m	720
duda	f	520
duel	m	56901
duelliste	m	630
dumping	m	9029
dunamis	f	916
dune	f	18753
dunette	f	3494
duo	m	22551
duodénum	m	2801
duopole	m	2958
dupe	f	6945
duperie	f	9730
duplessisme	m	641
duplex	m	1784
duplicata	m	2947
duplication	f	19012
duplicité	f	29883
duplique	f	693
dur	m	7702
durabilité	f	34801
